fromid,toid,length_km,type,capacity,freespeed,gid,id
1,3,69.5055701402546,HIGHWAY,4500,30,1,1
2,3,83.5274925489915,HIGHWAY,4500,30,2,2
3,4,2.77100126452988,HIGHWAY,4500,30,3,3
4,5,3.53585684631746,HIGHWAY,4500,30,4,4
4,6,9.67744777733424,HIGHWAY,4500,30,5,5
5,8,2.80779397703853,HIGHWAY,4500,30,6,6
5,9,3.53164525755582,HIGHWAY,4500,30,7,7
7,8,15.8146321136955,HIGHWAY,4500,30,8,8
8,9,2.6456035086806,HIGHWAY,4500,30,9,9
9,6,4.20559576843002,HIGHWAY,4500,30,10,10
8,13,12.0144179850809,HIGHWAY,4500,30,11,11
9,10,5.04134988920001,HIGHWAY,4500,30,12,12
6,11,20.7839219203992,HIGHWAY,4500,30,13,13
10,14,9.58157664562315,HIGHWAY,4500,30,14,14
10,15,15.2753908611861,HIGHWAY,4500,30,15,15
11,16,6.98832348226792,HIGHWAY,4500,30,16,16
11,17,9.91161984724149,HIGHWAY,4500,30,17,17
12,13,33.9783798924608,HIGHWAY,4500,30,18,18
13,14,8.63830239796151,HIGHWAY,4500,30,19,19
14,15,8.69844118003969,HIGHWAY,4500,30,20,20
15,16,5.94042591267941,HIGHWAY,4500,30,21,21
16,17,7.04597298300048,HIGHWAY,4500,30,22,22
17,18,19.0300073406216,HIGHWAY,4500,30,23,23
18,19,13.0054642480796,HIGHWAY,4500,30,24,24
19,20,12.4601407167987,HIGHWAY,4500,30,25,25
13,31,16.0486901986029,HIGHWAY,4500,30,26,26
14,23,16.4542938667903,HIGHWAY,4500,30,27,27
15,21,7.06476509214448,HIGHWAY,4500,30,28,28
16,21,6.08108522189055,HIGHWAY,4500,30,29,29
21,22,3.31584637135295,HIGHWAY,4500,30,30,30
17,22,12.480895007079,HIGHWAY,4500,30,31,31
22,23,3.16144870547883,HIGHWAY,4500,30,32,32
22,25,3.13007303130607,HIGHWAY,4500,30,33,33
18,27,8.95823877803827,HIGHWAY,4500,30,34,34
19,28,6.63615361968389,HIGHWAY,4500,30,35,35
23,24,2.61012031866559,HIGHWAY,4500,30,36,36
24,25,1.16447003090814,HIGHWAY,4500,30,37,37
25,26,4.79192137338216,HIGHWAY,4500,30,38,38
26,27,15.8750699643098,HIGHWAY,4500,30,39,39
27,28,18.2521936744303,HIGHWAY,4500,30,40,40
28,29,9.51495807224378,HIGHWAY,4500,30,41,41
23,32,3.78695079098908,HIGHWAY,4500,30,42,42
24,33,2.62305965851095,HIGHWAY,4500,30,43,43
25,33,3.06382475693346,HIGHWAY,4500,30,44,44
26,34,3.0341447746606,HIGHWAY,4500,30,45,45
27,35,4.52942059216461,HIGHWAY,4500,30,46,46
28,36,5.176748314596,HIGHWAY,4500,30,47,47
28,37,7.35258771906818,HIGHWAY,4500,30,48,48
30,31,6.60216562639,HIGHWAY,4500,30,49,49
48,53,5.80931304245888,HIGHWAY,4500,30,50,50
31,32,15.2733505888758,HIGHWAY,4500,30,51,51
32,33,5.44980319746359,HIGHWAY,4500,30,52,52
33,34,4.89809166911535,HIGHWAY,4500,30,53,53
34,35,13.5750481224311,HIGHWAY,4500,30,54,54
35,39,19.4821826796834,HIGHWAY,4500,30,55,55
39,36,2.89652918148904,HIGHWAY,4500,30,56,56
36,37,6.22188262703074,HIGHWAY,4500,30,57,57
31,43,13.4366485004221,HIGHWAY,4500,30,58,58
32,44,12.2924820419252,HIGHWAY,4500,30,59,59
33,38,4.7458208051892,HIGHWAY,4500,30,60,60
34,38,2.17181914158289,HIGHWAY,4500,30,61,61
38,45,12.2165942910092,HIGHWAY,4500,30,62,62
38,40,11.2720575769239,HIGHWAY,4500,30,63,63
35,40,12.5686771163479,HIGHWAY,4500,30,64,64
40,46,3.07854658936456,HIGHWAY,4500,30,65,65
40,51,11.1826206340901,HIGHWAY,4500,30,66,66
39,41,7.56157472912508,HIGHWAY,4500,30,67,67
42,43,3.1845360005376,HIGHWAY,4500,30,68,68
43,44,8.61738691812877,HIGHWAY,4500,30,69,69
44,45,9.7629163055991,HIGHWAY,4500,30,70,70
45,46,7.19518510527624,HIGHWAY,4500,30,71,71
43,52,13.4371732340469,HIGHWAY,4500,30,72,72
44,47,6.4384944666182,HIGHWAY,4500,30,73,73
47,52,1.77707328567684,HIGHWAY,4500,30,74,74
45,48,4.27390009677094,HIGHWAY,4500,30,75,75
46,49,4.16385056304728,HIGHWAY,4500,30,76,76
47,48,8.73146704755391,HIGHWAY,4500,30,77,77
48,49,8.44938632680465,HIGHWAY,4500,30,78,78
49,50,6.22615208911332,HIGHWAY,4500,30,79,79
49,54,8.41943254823748,HIGHWAY,4500,30,80,80
52,53,8.79993286310438,HIGHWAY,4500,30,81,81
53,55,12.1041435274987,HIGHWAY,4500,30,82,82
52,56,12.9664184445464,HIGHWAY,4500,30,83,83
53,57,6.78727126823574,HIGHWAY,4500,30,84,84
56,57,8.34631076283872,HIGHWAY,4500,30,85,85
3,1,69.5055701402546,HIGHWAY,4500,30,86,86
3,2,83.5274925489915,HIGHWAY,4500,30,87,87
4,3,2.77100126452988,HIGHWAY,4500,30,88,88
5,4,3.53585684631746,HIGHWAY,4500,30,89,89
6,4,9.67744777733424,HIGHWAY,4500,30,90,90
8,5,2.80779397703853,HIGHWAY,4500,30,91,91
9,5,3.53164525755582,HIGHWAY,4500,30,92,92
8,7,15.8146321136955,HIGHWAY,4500,30,93,93
9,8,2.6456035086806,HIGHWAY,4500,30,94,94
6,9,4.20559576843002,HIGHWAY,4500,30,95,95
13,8,12.0144179850809,HIGHWAY,4500,30,96,96
10,9,5.04134988920001,HIGHWAY,4500,30,97,97
11,6,20.7839219203992,HIGHWAY,4500,30,98,98
14,10,9.58157664562315,HIGHWAY,4500,30,99,99
15,10,15.2753908611861,HIGHWAY,4500,30,100,100
16,11,6.98832348226792,HIGHWAY,4500,30,101,101
17,11,9.91161984724149,HIGHWAY,4500,30,102,102
13,12,33.9783798924608,HIGHWAY,4500,30,103,103
14,13,8.63830239796151,HIGHWAY,4500,30,104,104
15,14,8.69844118003969,HIGHWAY,4500,30,105,105
16,15,5.94042591267941,HIGHWAY,4500,30,106,106
17,16,7.04597298300048,HIGHWAY,4500,30,107,107
18,17,19.0300073406216,HIGHWAY,4500,30,108,108
19,18,13.0054642480796,HIGHWAY,4500,30,109,109
20,19,12.4601407167987,HIGHWAY,4500,30,110,110
31,13,16.0486901986029,HIGHWAY,4500,30,111,111
23,14,16.4542938667903,HIGHWAY,4500,30,112,112
21,15,7.06476509214448,HIGHWAY,4500,30,113,113
21,16,6.08108522189055,HIGHWAY,4500,30,114,114
22,21,3.31584637135295,HIGHWAY,4500,30,115,115
22,17,12.480895007079,HIGHWAY,4500,30,116,116
23,22,3.16144870547883,HIGHWAY,4500,30,117,117
25,22,3.13007303130607,HIGHWAY,4500,30,118,118
27,18,8.95823877803827,HIGHWAY,4500,30,119,119
28,19,6.63615361968389,HIGHWAY,4500,30,120,120
24,23,2.61012031866559,HIGHWAY,4500,30,121,121
25,24,1.16447003090814,HIGHWAY,4500,30,122,122
26,25,4.79192137338216,HIGHWAY,4500,30,123,123
27,26,15.8750699643098,HIGHWAY,4500,30,124,124
28,27,18.2521936744303,HIGHWAY,4500,30,125,125
29,28,9.51495807224378,HIGHWAY,4500,30,126,126
32,23,3.78695079098908,HIGHWAY,4500,30,127,127
